x,y,t,id
-73.8111547,42.7280015,2011-01-22T06:20:09Z,1469
-73.8112389,42.7277178,2011-01-22T06:30:41Z,1469
-73.8114072,42.728505,2011-01-22T06:41:18Z,1469
-73.8111946,42.7280808,2011-01-22T07:00:56Z,1469
-73.8095075,42.7297211,2011-01-22T23:01:02Z,1469
-73.8095624,42.7299142,2011-01-22T23:04:41Z,1469
-73.8099728,42.7321026,2011-01-22T23:17:22Z,1469
-73.8101873,42.7320687,2011-01-22T23:18:08Z,1469
-73.8103686,42.7321525,2011-01-22T23:20:07Z,1469
-73.8101761,42.7328509,2011-01-22T23:22:08Z,1469
-73.811766,42.7353849,2011-01-22T23:28:07Z,1469
-73.8120131,42.7353328,2011-01-22T23:30:07Z,1469
-73.8125367,42.7359657,2011-01-22T23:32:09Z,1469
-73.813463,42.7363694,2011-01-22T23:34:05Z,1469
-73.8141771,42.7368682,2011-01-22T23:37:13Z,1469
-73.814315,42.7374148,2011-01-22T23:39:15Z,1469
-73.8154837,42.7383651,2011-01-22T23:45:22Z,1469
-73.815726,42.738367,2011-01-22T23:47:10Z,1469
-73.8157117,42.7385656,2011-01-22T23:48:08Z,1469
-73.8157122,42.7396689,2011-01-22T23:56:11Z,1469
-73.8155761,42.7396516,2011-01-22T23:59:19Z,1469
-73.8156187,42.7396392,2011-01-23T00:01:13Z,1469
-73.8159186,42.7396406,2011-01-23T00:02:07Z,1469
-73.8154735,42.7398082,2011-01-23T00:06:57Z,1469
-73.8156404,42.7394193,2011-01-23T00:12:56Z,1469
-73.8155661,42.7395228,2011-01-23T00:23:02Z,1469
-73.8152712,42.7396906,2011-01-23T01:38:56Z,1469
-73.8155205,42.7398247,2011-01-23T01:46:06Z,1469
-73.815565,42.7398091,2011-01-23T01:48:20Z,1469
-73.8154731,42.7397925,2011-01-23T01:50:13Z,1469
-73.8152502,42.7397166,2011-01-23T01:54:17Z,1469
-73.8136956,42.7384073,2011-01-23T02:00:30Z,1469
-73.8138517,42.7381325,2011-01-23T02:06:35Z,1469
-73.8138292,42.7378068,2011-01-23T02:14:13Z,1469
-73.8138349,42.7379025,2011-01-23T02:16:09Z,1469
-73.813862,42.7377555,2011-01-23T02:22:35Z,1469
-73.8138906,42.7377532,2011-01-23T02:24:08Z,1469
-73.813796,42.7378928,2011-01-23T02:26:09Z,1469
-73.8138562,42.7377402,2011-01-23T02:40:39Z,1469
-73.8139081,42.7376123,2011-01-23T02:50:54Z,1469
-73.8138044,42.7377386,2011-01-23T02:56:34Z,1469
-73.8138775,42.7376798,2011-01-23T03:03:05Z,1469
-73.8138696,42.7376835,2011-01-23T03:08:18Z,1469
-73.8141157,42.737241,2011-01-23T03:10:08Z,1469
-73.8135839,42.7332884,2011-01-23T23:11:20Z,1469
-73.8135648,42.7331481,2011-01-23T23:13:13Z,1469
